,Player,GP,MIN,PTS,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
68,Isaac Bonga,58,34.9,9.1,2.2,4.1,6.3,2.2,1.2,0.8,1.4,14.6
69,Robin Lopez,60,34.9,13.3,2.2,3.9,5.8,1.7,0.5,1.7,2.2,14.5
70,Juancho Hernangomez,48,34.9,12.0,1.8,6.4,8.2,1.6,0.8,0.4,1.4,14.4
71,Cameron Johnson,49,34.9,13.9,1.4,3.6,5.0,1.9,1.0,0.5,1.0,14.3
72,Brad Wanamaker,63,34.9,11.9,0.5,3.1,3.6,4.5,1.4,0.4,2.0,14.3
73,Kevin Porter Jr.,50,34.9,15.0,0.6,4.2,4.8,3.3,1.4,0.5,2.9,14.3
74,Marvin Williams,52,34.9,11.0,0.7,4.5,5.0,2.0,1.3,0.9,0.9,14.2
75,Kyle Korver,50,34.9,14.0,0.6,3.8,4.4,2.5,0.8,0.4,1.7,14.2
76,Mario Hezonja,47,34.9,10.3,1.3,6.2,7.3,1.9,1.3,0.4,1.7,14.1
77,Raul Neto,49,34.9,13.0,0.6,2.4,3.3,4.9,1.2,0.3,2.7,14.0
78,Aaron Holiday,58,34.9,13.9,0.6,2.8,3.4,4.9,1.2,0.3,1.9,14.0
79,E'Twaun Moore,51,34.9,16.0,1.1,3.3,4.5,2.6,0.9,0.4,1.3,13.9
80,Torrey Craig,50,34.9,10.0,2.0,4.4,6.2,1.4,0.8,1.2,0.8,13.8
81,Lonnie Walker IV,53,34.9,13.5,1.0,4.3,5.3,2.2,1.2,0.5,1.4,13.7
82,Cody Martin,48,34.9,9.3,1.5,4.6,6.1,3.7,1.5,0.4,1.7,13.7
83,Elie Okobo,54,34.9,10.7,0.8,3.5,4.3,5.6,1.1,0.3,1.9,13.6
84,Solomon Hill,54,34.9,10.2,0.9,4.6,5.5,3.4,1.3,0.4,1.7,13.5
85,Mike Scott,63,34.9,11.2,1.8,5.3,7.1,1.6,0.6,0.2,0.8,13.5
86,Alex Caruso,58,34.9,10.6,0.4,3.3,3.7,3.5,2.0,0.6,1.6,13.3
87,Furkan Korkmaz,64,34.9,15.5,0.5,3.4,3.7,1.8,1.0,0.3,1.3,13.3
88,Jevon Carter,50,34.9,10.6,1.2,3.5,4.6,3.0,1.8,0.7,1.4,13.2
89,Ben McLemore,63,34.9,15.0,0.5,2.9,3.4,1.4,0.9,0.3,1.1,13.2
