,Player,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
164,Maurice Harkless,62,23.0,5.8,2.3,4.6,50.2,0.5,1.6,34.7,0.6,1.1,59.1,0.9,3.0,3.9,1.1,0.9,0.5,0.9,8.6
165,Ben McLemore,63,22.8,9.8,3.3,7.5,44.5,2.4,6.2,39.5,0.7,1.0,75.8,0.3,1.9,2.2,0.9,0.6,0.2,0.7,8.6
166,Patty Mills,63,22.7,11.7,3.9,9.1,42.9,2.3,6.2,38.0,1.5,1.7,86.1,0.3,1.3,1.6,1.8,0.8,0.1,0.8,9.7
167,Svi Mykhailiuk,56,22.6,9.0,3.0,7.2,41.0,2.1,5.1,40.4,1.0,1.3,81.4,0.3,1.6,1.9,1.9,0.7,0.1,1.1,8.0
168,Jordan Poole,57,22.4,8.8,2.9,8.8,33.3,1.3,4.6,27.9,1.7,2.1,79.8,0.2,1.9,2.1,2.4,0.6,0.2,1.3,6.4
169,DeAndre Jordan,56,22.0,8.3,3.4,5.1,66.6,0.0,0.0,0.0,1.5,2.2,68.0,2.5,7.5,10.0,1.9,0.3,0.9,1.3,17.7
170,Malik Beasley,55,22.0,11.2,4.1,9.7,42.5,1.9,5.0,38.8,1.0,1.2,81.8,0.3,2.4,2.7,1.4,0.7,0.1,1.0,9.3
171,Furkan Korkmaz,64,21.8,9.7,3.5,8.0,43.2,2.0,5.0,39.7,0.8,1.1,73.6,0.3,2.1,2.3,1.1,0.6,0.2,0.8,8.3
172,Delon Wright,65,21.7,7.3,2.8,5.9,47.0,0.7,1.8,38.5,1.1,1.4,78.9,1.0,3.0,4.0,3.4,1.2,0.3,1.0,11.7
173,Brandon Clarke,50,21.7,12.0,5.1,8.2,62.3,0.4,1.0,40.4,1.5,1.9,78.5,1.6,4.3,5.8,1.4,0.5,0.8,0.9,16.3
174,Monte Morris,65,21.6,8.4,3.4,7.4,45.9,0.8,2.2,37.5,0.8,1.0,82.3,0.3,1.4,1.7,3.5,0.8,0.2,0.7,9.9
175,Rudy Gay,60,21.5,10.0,3.7,8.4,44.2,1.0,3.1,31.4,1.7,1.9,87.6,0.9,4.4,5.4,1.7,0.4,0.5,1.3,11.8
176,Anfernee Simons,65,21.5,8.8,3.2,8.1,40.2,1.1,3.4,33.8,1.2,1.4,82.6,0.4,1.9,2.3,1.5,0.4,0.2,0.9,7.1
